Source,Target,Weight
Allowing women to drive,Congratulations Saudi Women,1731
Allowing women to drive,Saudi Arabia,298
Allowing women to drive,Saudis refuse women’s driving,504
Allowing women to drive,The King supports women’s driving,14380
Congratulations Saudi Women,Saudis refuse women’s driving,7507
Congratulations Saudi Women,The King supports women’s driving,6956
Saudi Arabia,Congratulations Saudi Women,300
Saudi Arabia,The King supports women’s driving,10912
Saudis refuse women’s driving,Saudi Arabia,637
Saudis refuse women’s driving,Saudis refuse women’s driving,628
Saudis refuse women’s driving,SaudiWomenCanDrive,91
Saudis refuse women’s driving,The King supports women’s driving,1389
SaudiWomenCanDrive,Allowing women to drive,19
SaudiWomenCanDrive,Congratulations Saudi Women,157
SaudiWomenCanDrive,Saudi Arabia,261
SaudiWomenCanDrive,The King supports women’s driving,332
The King supports women’s driving,Allowing women to drive,26
The King supports women’s driving,Congratulations Saudi Women,3831
The King supports women’s driving,Saudi Arabia,3800
The King supports women’s driving,Saudis refuse women’s driving,5345
The King supports women’s driving,SaudiWomenCanDrive,770
The King supports women’s driving,The King supports women’s driving,254
